date,time,dest,src,rssi
19/09/2022,13:32:45.335103,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:46.995670,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:32:48.276271,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:48.545863,ff:ff:ff:ff:ff:ff,dc:a6:32:33:ae:15,-20
19/09/2022,13:32:48.594567,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-31
19/09/2022,13:32:48.699660,ff:ff:ff:ff:ff:ff,dc:a6:32:33:ae:15,-26
19/09/2022,13:32:48.835745,ff:ff:ff:ff:ff:ff,dc:a6:32:33:ae:15,-24
19/09/2022,13:32:48.895505,ff:ff:ff:ff:ff:ff,dc:a6:32:33:ae:15,-22
19/09/2022,13:32:57.307651,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:58.341887,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:58.351691,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:58.360422,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:58.369950,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:58.377837,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:58.385581,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:59.379097,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:32:59.386776,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:32:59.392001,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:00.419081,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:33:04.586321,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:04.671121,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:04.675983,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:33:05.618980,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:06.659264,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:07.706582,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:08.742701,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:08.759849,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-36
19/09/2022,13:33:08.768195,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:33:08.776316,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-35
19/09/2022,13:33:12.899051,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-57
19/09/2022,13:33:13.940595,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-54
19/09/2022,13:33:14.829845,10:da:43:ab:38:73,dc:a6:32:33:ae:15,-37
